´å³Ó¦|
10000000
10272748.1
10309756.18
10389358.52
10542479.66
10495959.4
10561733.66
10522150
10585818.2
10552848.1
10466564.1
10667042.86
10612637.18
10703656.34
10731749.88
10685642.42
10575451.42
10655782.94
10676093.52
10743246.46
Y = 45235.792864112x + 10000000.000000
m =45235.792864112
daily risk =163669.849176189
trend = 0.276384399
