Iteration:1000
elements:10
delta:0.001
trend:0.909981
best generation:145
stock#:,CAT,
f(0):,0.000000000
f(1):,10000000.000000000
f(2):,10231049.400000000
f(3):,10286827.559999999
f(4):,10353353.439999999
f(5):,10414304.410000000
f(6):,10502886.770000000
f(7):,10514553.510000000
f(8):,10460870.140000001
f(9):,10599351.649999999
f(10):,10639803.770000000
f(11):,10625137.640000001
f(12):,10734041.180000000
f(13):,10797913.639999999
f(14):,10904342.899999999
f(15):,10861310.989999998
f(16):,10819607.030000001
f(17):,10778808.359999999
f(18):,10845220.209999999
f(19):,10872070.180000000
f(20):,10949238.459999999
